country,code,indicator,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Afghanistan,AFG,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Afghanistan,AFG,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Albania,ALB,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,17,17,17,16,16,
Albania,ALB,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,15,15,15,15,15,15,15,15,15,
Albania,ALB,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Algeria,DZA,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Algeria,DZA,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Algeria,DZA,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
American Samoa,ASM,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
American Samoa,ASM,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
American Samoa,ASM,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Andorra,AND,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,5,5,5,6,7,8,8,9,9,10,12,12,11,
Andorra,AND,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Andorra,AND,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,11,11,
Angola,AGO,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,15,15,15,15,16,17,18,
Angola,AGO,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,13,13,13,12,12,15,16,
Angola,AGO,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,15,15,15,15,16,17,17,
Antigua and Barbuda,ATG,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Antigua and Barbuda,ATG,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Antigua and Barbuda,ATG,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Argentina,ARG,sp, , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,15,15,14,14,14,15, , , , ,18,16,16,18,18,17,17,18,19, , ,18,16,
Argentina,ARG,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21,21,18,18,17,17,17,17,17,17,17,17,17,18,18,17,16,
Argentina,ARG,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,14,14,14,28,28,28,28, , , , , ,17,17,23,23, , ,17,17,
Armenia,ARM,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Armenia,ARM,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,12,12,12,12,12,12,12,12,13,15,15,
Armenia,ARM,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,14,15,15,15,15,15,15,16,16,16,
Aruba,ABW,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,10,10,10,10,10,
Aruba,ABW,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Aruba,ABW,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,
Australia,AUS,sp,11,11,11,11,11,11,11,2,2,2,2,2,2,2,2,2,2,2,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Australia,AUS,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Australia,AUS,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,4,4,2,2,2,2,2,2,2,
Austria,AUT,sp, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,
Austria,AUT,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,
Austria,AUT,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,
Azerbaijan,AZE,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,13,12,12,12,12,12,13,13,
Azerbaijan,AZE,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,11,11,11,11,11,10,10,10,10,11,12,
