,Variable,Importance
0,"Binding coverage, primary products (%)",0.017670642819531335
1,"Binding coverage, all products (%)",0.015208122530773189
2,"Binding coverage, manufactured products (%)",0.013409472712789307
3,"People using at least basic sanitation services, rural (% of rural population)",0.008732745467906852
4,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",0.0076999586223545306
5,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",0.007585405616484333
6,GNI per capita (constant 2010 US$),0.007519360372868164
7,"Net intake rate in grade 1, female (% of official school-age population)",0.007202164431436282
8,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",0.007129908500585742
9,"Tariff rate, most favored nation, simple mean, all products (%)",0.006270247542464691
10,Completeness of birth registration (%),0.006262952503782511
11,"Stocks traded, total value (current US$)",0.006085031805051759
12,"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",0.006055132927153532
13,"Agriculture, forestry, and fishing, value added (constant LCU)",0.00585801057397823
14,"Foreign direct investment, net outflows (% of GDP)",0.005834845228922215
15,Government.Effectiveness..Percentile.Rank,0.005829676680528335
16,"Pupil-teacher ratio, upper secondary",0.005794807771058445
17,"Foreign direct investment, net inflows (BoP, current US$)",0.0055787447113453134
18,"Employment to population ratio, ages 15-24, female (%) (national estimate)",0.005505459353577902
19,"New business density (new registrations per 1,000 people ages 15-64)",0.00537719165135219
20,"Tariff rate, most favored nation, simple mean, manufactured products (%)",0.0053679257178509965
21,"Domestic general government health expenditure per capita, PPP (current international $)",0.005146416997220468
22,Domestic general government health expenditure per capita (current US$),0.004998000705488385
23,"GNI per capita, Atlas method (current US$)",0.004924708104923511
24,Net intake rate in grade 1 (% of official school-age population),0.004893466089750709
25,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",0.004889613531597568
26,Market capitalization of listed domestic companies (current US$),0.004886760525951716
27,Government.Effectiveness..Percentile.Rank..Upper.Bound.of.90..Confidence.Interval,0.0048318107307039415
28,Investment in water and sanitation with private participation (current US$),0.004746218274225735
29,Current health expenditure per capita (current US$),0.0046317347393964765
30,"GNI per capita, PPP (current international $)",0.0045873181347854805
31,Trade (% of GDP),0.004551821414062206
32,Government.Effectiveness..Estimate.x,0.004338068983849927
33,"Annual freshwater withdrawals, total (billion cubic meters)",0.004270283101228348
34,International migrant stock (% of population),0.004239140198773271
35,"Foreign direct investment, net outflows (BoP, current US$)",0.004236040667688654
36,mdy,0.0042333854321580525
37,Regulatory.Quality..Percentile.Rank..Upper.Bound.of.90..Confidence.Interval,0.004208113468450337
38,Number of deaths ages 5-14 years,0.004188669977530352
39,"Agriculture, forestry, and fishing, value added (constant 2010 US$)",0.004159380749225918
40,Regulatory.Quality..Percentile.Rank,0.0040587363722708394
41,Imports of goods and services (% of GDP),0.004056156491060007
42,"Employment to population ratio, ages 15-24, total (%) (national estimate)",0.003972697074691581
43,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.003970306501329477
44,Individuals.with.no.education.as.a.share.of.public.paid.employees,0.003846058138126327
45,"Listed domestic companies, total",0.003782356412565978
46,Control.of.Corruption..Percentile.Rank,0.0036827043701954994
47,Government.Effectiveness..Estimate.y,0.003629174745000854
48,"Current health expenditure per capita, PPP (current international $)",0.0035747866957086755
49,GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.0034495864004768346
50,GDP per unit of energy use (PPP $ per kg of oil equivalent),0.0034274192600652624
51,Bank capital to assets ratio (%),0.0034070073533727023
52,People.using.safely.managed.sanitation.services....of.population.,0.0033289534750772843
53,Domestic private health expenditure per capita (current US$),0.00332753815527911
54,Government.Effectiveness..Percentile.Rank..Lower.Bound.of.90..Confidence.Interval,0.0033001532424460304
55,Government.Effectiveness..Standard.Error,0.0031817896162451183
56,"Services, value added (% of GDP)",0.003034338934872137
57,"People using at least basic drinking water services, rural (% of rural population)",0.0030138846214390357
58,sp,0.003004759988039571
59,"Adolescents out of school, male (% of male lower secondary school age)",0.002961748403579291
60,"Air transport, freight (million ton-km)",0.002935694797121977
61,Regulatory.Quality..Estimate.y,0.00292783571550729
62,Adjusted savings: carbon dioxide damage (% of GNI),0.0029256669837670972
63,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",0.0028971458010242806
64,Getting.credit..DB05.14.methodology....Score,0.002823247111441821
65,People using safely managed sanitation services (% of population),0.00281914372158283
66,"Commercial bank branches (per 100,000 adults)",0.0027920870581334078
67,"Households and NPISHs Final consumption expenditure, PPP (current international $)",0.0027889019700821772
68,"Employment to population ratio, ages 15-24, male (%) (national estimate)",0.002740701753243922
69,"Trademark applications, resident, by count",0.0026938221526886957
70,Control.of.Corruption..Percentile.Rank..Upper.Bound.of.90..Confidence.Interval,0.0026927806183135567
71,Regulatory.Quality..Percentile.Rank..Lower.Bound.of.90..Confidence.Interval,0.0026423893005887255
72,"Pupil-teacher ratio, lower secondary",0.0025853603994842912
73,Regulatory.Quality..Estimate.x,0.00253084952929451
74,Market capitalization of listed domestic companies (% of GDP),0.002515925214564935
75,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",0.002455658614903806
76,Net ODA received (% of central government expense),0.0024469524703103766
77,"Incidence of malaria (per 1,000 population at risk)",0.002400559291380662
78,"International tourism, expenditures for passenger transport items (current US$)",0.0023671083713204155
79,"Progression to secondary school, male (%)",0.0023553032980795294
80,"Specialist surgical workforce (per 100,000 population)",0.0023229807975346842
81,Control.of.Corruption..Estimate.y,0.0022985341183831653
82,Trade in services (% of GDP),0.002229658082394273
83,Research and development expenditure (% of GDP),0.0022041704918040333
84,Adjusted savings: consumption of fixed capital (% of GNI),0.0020227028322371667
85,Control.of.Corruption..Percentile.Rank..Lower.Bound.of.90..Confidence.Interval,0.001998466462167779
86,"Stocks traded, total value (% of GDP)",0.0019740632371084833
87,Completeness of death registration with cause-of-death information (%),0.0018943442720141712
88,GDP per capita (current US$),0.0018519104569075311
89,Gross fixed capital formation (% of GDP),0.0017850809758714157
90,Net ODA provided to the least developed countries (% of GNI),0.0017763031202759794
91,Control.of.Corruption..Estimate.x,0.0017718659013556564
92,"School enrollment, secondary, private (% of total secondary)",0.0017582975089169095
93,Export,0.0017383368391464564
94,"Mortality rate, under-5, female (per 1,000 live births)",0.0017382720990980994
95,"Adolescents out of school, female (% of female lower secondary school age)",0.001716282919764861
96,"GNI, PPP (current international $)",0.0017014894314045593
97,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.0016801379185431104
98,"Children out of school, primary",0.0016800472711913975
99,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",0.0016718311017782463
100,"Tariff rate, most favored nation, simple mean, primary products (%)",0.0016580210217218608
101,"School enrollment, secondary, male (% net)",0.0016509055353595228
102,Rural land area (sq. km),0.0016427337152894405
103,"Net intake rate in grade 1, male (% of official school-age population)",0.00164185608409861
104,Females..as.a.share.of.public.paid.employee.by.wage.quintile..Quintile.5.,0.0015923907276665164
105,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",0.0015605479356438786
106,Research.and.development.expenditure....of.GDP.,0.001542416280062396
107,"School enrollment, tertiary (gross), gender parity index (GPI)",0.0015347000633035707
108,"Domestic private health expenditure per capita, PPP (current international $)",0.0015036816621235476
109,New businesses registered (number),0.001480025527550185
110,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",0.0014364080467189173
111,GDP per capita (constant 2010 US$),0.0014293866276250634
112,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",0.0014260471110157124
113,"Internally displaced persons, total displaced by conflict and violence (number of people)",0.001401385510866506
114,Urban land area (sq. km),0.0013636515703205415
115,Children out of school (% of primary school age),0.0013456254167917689
116,Public.sector.wage.premium.by.occupation..Clerks...compared.to.formal.wage.employees.,0.0013413177971149906
117,Net ODA received (% of GNI),0.0013393918550905321
118,"Goods exports (BoP, current US$)",0.001314741589477239
119,"Adjusted net enrollment rate, primary (% of primary school age children)",0.0013063343180168346
120,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",0.0012845007433391967
121,"Mortality rate, infant, male (per 1,000 live births)",0.0012650816034813206
122,"Agriculture, forestry, and fishing, value added (current LCU)",0.0012620377027611394
123,Political.Stability.and.Absence.of.Violence.Terrorism..Percentile.Rank,0.0012567241208863787
124,"Children in employment, work only, male (% of male children in employment, ages 7-14)",0.0012518965689698467
125,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0.0012418488993494903
126,Voice.and.Accountability..Percentile.Rank..Lower.Bound.of.90..Confidence.Interval,0.0012254213048409942
127,Gross fixed capital formation (current LCU),0.0012157471984085167
128,Gross national expenditure (current LCU),0.0012132225176678267
129,External debt stocks (% of GNI),0.0012131564224667514
130,Rail lines (total route-km),0.0012103275024837748
131,ICT goods exports (% of total goods exports),0.0012100017278758321
132,Bank nonperforming loans to total gross loans (%),0.0012038168303093997
133,Getting.credit..Strength.of.legal.rights.index..0.10...DB05.14.methodology....Score,0.00120251031923731
134,csdr_avg,0.0012024603146089184
135,External.debt.stocks....of.GNI.,0.0011908339972412105
136,Exports of goods and services (% of GDP),0.0011838932955320163
137,"Agriculture, forestry, and fishing, value added (current US$)",0.001182761085448635
138,"Nurses and midwives (per 1,000 people)",0.0011808121216726104
139,"Patent applications, residents",0.00117114834377319
140,Getting.credit..Strength.of.legal.rights.index..0.10...DB05.14.methodology.,0.0011611431030363797
141,"Lower secondary completion rate, male (% of relevant age group)",0.0011584634196789684
142,Military expenditure (current USD),0.0011407734706358284
143,"Manufacturing, value added (constant LCU)",0.00113922039356544
144,Import unit value index (2000 = 100),0.0011144803843877856
145,"GDP per capita, PPP (current international $)",0.0011123130677346128
146,"Completeness of birth registration, female (%)",0.0011075712794542882
147,Getting.Credit.total.score..DB05.14.methodology.,0.001102315106980086
148,"Labor force with intermediate education, female (% of female working-age population with intermediate education)",0.0010910104112194239
149,Imports of goods and services (current LCU),0.0010895053501148615
150,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",0.001086686291672217
151,"Adjusted net savings, including particulate emission damage (current US$)",0.0010779394423221847
152,Voice.and.Accountability..Percentile.Rank,0.0010772177803373983
153,Political.Stability.and.Absence.of.Violence.Terrorism..Estimate.x,0.0010737119828969832
154,Control.of.Corruption..Number.of.Sources,0.00106522069022827
155,"Annual freshwater withdrawals, total (% of internal resources)",0.0010639197086630343
156,Out-of-pocket expenditure per capita (current US$),0.001061097804359147
157,Commercial service exports (current US$),0.0010605985930602164
158,Regulatory.Quality..Standard.Error,0.0010602265317101955
159,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",0.001050358011132671
160,Patent.applications..residents,0.0010423183453313744
161,"People using safely managed sanitation services, urban (% of urban population)",0.0010411636808972408
162,Urban land area where elevation is below 5 meters (sq. km),0.001037248614811463
163,"GNI per capita, PPP (constant 2011 international $)",0.001033102749570304
164,"Pupil-teacher ratio, tertiary",0.0010331006106301698
165,GDP (constant LCU),0.001032633448983986
166,Liner shipping connectivity index (maximum value in 2004 = 100),0.0010229837041678012
167,"Mortality rate, under-5, male (per 1,000 live births)",0.00101995273284053
168,"Services, value added (constant LCU)",0.001005840838483475
169,"GDP, PPP (constant 2011 international $)",0.0009952295725052962
170,Gross domestic savings (current LCU),0.0009918484060416866
171,Individuals.with.no.education.as.a.share.of.private.paid.employees,0.000990897698109453
172,Price level ratio of PPP conversion factor (GDP) to market exchange rate,0.000987069833974786
173,GDP (current LCU),0.0009861891480261752
174,"Completeness of birth registration, male (%)",0.0009842521513365422
175,Females..as.a.share.of.public.paid.employee.by.wage.quintile..Quintile.4.,0.0009832313871795026
176,Public private partnerships investment in water and sanitation (current US$),0.0009793309677140621
177,Getting.credit..Depth.of.credit.information.index..0.6...DB05.14.methodology....Score,0.000976631151613286
178,Control.of.Corruption..Standard.Error,0.0009657079264862505
179,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",0.0009656684810726267
180,Refugee population by country or territory of origin,0.0009582947622295935
181,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),0.0009522649646058804
182,"Services, value added (current LCU)",0.0009487536055268586
183,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),0.0009453052416938227
184,"Progression to secondary school, female (%)",0.0009417737142068779
185,Rural land area where elevation is below 5 meters (sq. km),0.0009406990294328439
186,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",0.0009359989083315026
187,"Incidence of tuberculosis (per 100,000 people)",0.0009330079180748733
188,Final consumption expenditure (current LCU),0.0009325447385814332
189,CO2 emissions (kg per 2010 US$ of GDP),0.0009282198674351645
190,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0.0009209024706314389
191,"Borrowers from commercial banks (per 1,000 adults)",0.0009168663922966578
192,Government.expenditure.on.education..total....of.government.expenditure.,0.0009162888823920294
193,"Mortality rate, infant, female (per 1,000 live births)",0.0009122323293211309
194,Gross domestic income (constant LCU),0.0009120461009312775
195,Regulatory.Quality..Number.of.Sources,0.0009098022174471309
196,Political.Stability.and.Absence.of.Violence.Terrorism..Percentile.Rank..Lower.Bound.of.90..Confidence.Interval,0.0009072061271172211
197,Households and NPISHs Final consumption expenditure (current LCU),0.0009007104596072981
198,"Industrial design applications, nonresident, by count",0.0008990575647413331
199,General government final consumption expenditure (current LCU),0.0008980908991826135
200,GDP: linked series (current LCU),0.000890627536818015
201,Annual.freshwater.withdrawals..total....of.internal.resources.,0.0008845788879494308
202,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),0.000880285386381812
203,Refugee population by country or territory of asylum,0.0008716267685028589
204,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",0.0008701192618657924
205,Adjusted savings: net forest depletion (% of GNI),0.0008565104574420678
206,Gross value added at basic prices (GVA) (current LCU),0.0008509135464733732
207,"Smoking prevalence, total (ages 15+)",0.0008467719865478386
208,GNI (constant LCU),0.0008465157497748104
209,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",0.0008454583890156627
210,"Agriculture, forestry, and fishing, value added (% of GDP)",0.0008452326846750116
211,"Primary completion rate, male (% of relevant age group)",0.0008451866473253489
212,External health expenditure (% of current health expenditure),0.0008428578606506092
213,"Out-of-pocket expenditure per capita, PPP (current international $)",0.0008425745559550725
214,Government.Effectiveness..Number.of.Sources,0.0008418217203120401
215,"Service exports (BoP, current US$)",0.0008400431106875992
216,Getting.credit..Depth.of.credit.information.index..0.6...DB05.14.methodology.,0.0008341303644279891
217,"GDP per capita, PPP (constant 2011 international $)",0.0008323362592192406
218,"Children in employment, wage workers (% of children in employment, ages 7-14)",0.0008304306550124621
219,"People using at least basic sanitation services, urban (% of urban population)",0.0008247749939126936
220,GHG.net.emissions.removals.by.LUCF..Mt.of.CO2.equivalent.,0.0008161291839045382
221,Protecting.minority.investors..Ease.of.shareholder.suits.index..0.10...DB06.14.methodology.,0.0008109814628719874
222,"Trademark applications, direct resident",0.0008076190946843679
223,Gross national expenditure (current US$),0.000802305187733066
224,Tax revenue (% of GDP),0.0008015826108728385
225,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",0.0007910934406628291
226,Final consumption expenditure (constant LCU),0.0007874490556892927
227,Voice.and.Accountability..Estimate.y,0.0007852913149198151
228,GNI (constant 2010 US$),0.0007788305372040728
229,Voice.and.Accountability..Percentile.Rank..Upper.Bound.of.90..Confidence.Interval,0.0007787223522953838
230,Gross capital formation (current LCU),0.000777897906973506
231,"Government expenditure per student, secondary (% of GDP per capita)",0.00077619860663402
232,"Industry (including construction), value added per worker (constant 2010 US$)",0.0007746015919443607
233,Public private partnerships investment in energy (current US$),0.0007681696244321995
234,Coverage of social safety net programs in 2nd quintile (% of population),0.0007674680668613655
235,"Labor force, total",0.00076324364462535
236,Customs and other import duties (% of tax revenue),0.00075975475365187
237,Pay.compression.ratio.in.public.sector,0.0007589715017277843
238,"Children in employment, work only (% of children in employment, ages 7-14)",0.0007583710654800939
239,Subsidies and other transfers (% of expense),0.0007569373442621968
240,Labor force with intermediate education (% of total working-age population with intermediate education),0.0007534141434622753
241,Exports as a capacity to import (constant LCU),0.0007482274028850761
242,Cereal production (metric tons),0.0007421020368048968
243,Gross value added at basic prices (GVA) (constant LCU),0.0007343993646446481
244,"Government expenditure on education, total (% of government expenditure)",0.0007340964096969346
245,"Imports of goods and services (BoP, current US$)",0.0007312167863567396
246,GDP per person employed (constant 2011 PPP $),0.0007309716050074118
247,Adjusted.savings..net.forest.depletion....of.GNI.,0.0007277186695653557
248,Rule.of.Law..Percentile.Rank,0.0007271104823723443
249,Females..as.a.share.of.public.paid.employee.by.wage.quintile..Quintile.3.,0.0007268393748594342
250,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",0.0007264787481140345
251,"School enrollment, secondary, female (% net)",0.0007233173248126234
252,"Primary income receipts (BoP, current US$)",0.0007212941868579392
253,"Net bilateral aid flows from DAC donors, Iceland (current US$)",0.0007207581616496625
254,Commercial service imports (current US$),0.0007199167339176364
255,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",0.000708041259543471
256,Changes in inventories (current LCU),0.000704742251022048
257,Customs and other import duties (current LCU),0.0007009496258393493
258,Protecting.minority.investors..Strength.of.investor.protection.index..0.10...DB06.14.methodology.,0.0006982767099977308
259,Females.as.a.share.of.private.paid.employees,0.0006973561234504588
260,Adolescents out of school (% of lower secondary school age),0.0006956627531202937
261,Taxes on international trade (current LCU),0.000690301949955998
262,Political.Stability.and.Absence.of.Violence.Terrorism..Estimate.y,0.0006858915072737428
263,Gross national expenditure (constant LCU),0.0006818227768708828
264,"Population, female",0.0006769496983864821
265,"Air transport, passengers carried",0.0006700846130881797
266,"Trained teachers in primary education, male (% of male teachers)",0.0006698535332374288
267,"Population ages 15-64, female",0.000668982502232414
268,Land under cereal production (hectares),0.000665777305185816
269,Agriculture..forestry..and.fishing..value.added....of.GDP.,0.0006657196338491544
270,Gross fixed capital formation (constant 2010 US$),0.0006656767038097973
271,Rule.of.Law..Estimate.x,0.0006613435050913233
272,Protecting.minority.investors..DB06.14.methodology....Score,0.000660561425406525
273,"Secondary education, pupils",0.0006585931298255205
274,"Net ODA provided, to the least developed countries (current US$)",0.0006578317526604275
275,GNI per capita (constant LCU),0.0006550955653445606
276,"Primary completion rate, female (% of relevant age group)",0.0006538755328898776
277,IDA resource allocation index (1=low to 6=high),0.0006524428640992245
278,Employment in services (% of total employment) (modeled ILO estimate),0.0006488986071935175
279,Gross capital formation (constant LCU),0.0006466861288757815
280,"International tourism, receipts for travel items (current US$)",0.0006461732763256938
281,Time required to obtain an operating license (days),0.0006459357398093436
282,"GDP, PPP (current international $)",0.0006441020536022195
283,Fertility.rate..total..births.per.woman.,0.0006418684728858285
284,School.enrollment..primary....gross.,0.0006398984774981118
285,Relative.wage.of.Professionals.in.private.sector..using.clerk.as.reference.,0.000637871426403843
286,"School enrollment, secondary (% net)",0.0006367132773320151
287,"Net ODA provided, total (constant 2015 US$)",0.0006340535989774531
288,Current health expenditure (% of GDP),0.0006331155282806923
289,Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),0.0006321433482848833
290,Personal.remittances..received..current.US..,0.0006306023632397363
291,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",0.0006302023455865946
292,Urban land area where elevation is below 5 meters (% of total land area),0.0006276044378016905
293,Scientific and technical journal articles,0.0006275618710452024
294,Merchandise exports (current US$),0.0006269529815317741
295,"Bird species, threatened",0.0006258694827402835
