,country,date,code,iso2Code,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude,Actual FDI Inflow (% of GDP),Predicted FDI Inflow (% of GDP),Difference,Percent Difference (%),Over- or Under- Investment
0,Afghanistan,2015.0,AFG,AF,South Asia,South Asia,Low income,IDA,Kabul,69.1761,34.5228,0.8496793152954041,0.9088301,0.05915079096298825,6.961543007837445,Under-Invested
1,Afghanistan,2016.0,AFG,AF,South Asia,South Asia,Low income,IDA,Kabul,69.1761,34.5228,0.48336024604043,0.8110003,0.3276400414923764,67.78382048923639,Under-Invested
2,Afghanistan,2017.0,AFG,AF,South Asia,South Asia,Low income,IDA,Kabul,69.1761,34.5228,0.255222348901765,0.79605967,0.5408373191623524,211.90829153073918,Under-Invested
3,Afghanistan,2018.0,AFG,AF,South Asia,South Asia,Low income,IDA,Kabul,69.1761,34.5228,0.7188979944831521,0.71101636,-0.007881637538114217,-1.0963499131445897,Over-Invested
4,Albania,2015.0,ALB,AL,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Tirane,19.8172,41.3317,8.690477033994059,1.5588001,-7.131676932713846,-82.06312386325007,Over-Invested
5,Albania,2016.0,ALB,AL,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Tirane,19.8172,41.3317,8.804977717454321,2.3058822,-6.499095501954443,-73.81160646291164,Over-Invested
6,Albania,2017.0,ALB,AL,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Tirane,19.8172,41.3317,7.85222845105271,1.5318108,-6.320417690554663,-80.49202503408208,Over-Invested
7,Albania,2018.0,ALB,AL,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Tirane,19.8172,41.3317,7.99235654423896,1.457562,-6.53479457448188,-81.76305121412885,Over-Invested
8,Algeria,2015.0,DZA,DZ,Middle East & North Africa,Middle East & North Africa (excluding high income),Upper middle income,IBRD,Algiers,3.05097,36.7397,-0.324013750809036,0.823535,1.1475487759288174,154.1666898591438,Under-Invested
9,Algeria,2016.0,DZA,DZ,Middle East & North Africa,Middle East & North Africa (excluding high income),Upper middle income,IBRD,Algiers,3.05097,36.7397,1.02370427771077,0.6677168,-0.3559874765442357,-34.774444563258314,Over-Invested
10,Algeria,2017.0,DZA,DZ,Middle East & North Africa,Middle East & North Africa (excluding high income),Upper middle income,IBRD,Algiers,3.05097,36.7397,0.717464227704435,0.7230241,0.005559842558473971,0.7749295844704296,Under-Invested
11,Algeria,2018.0,DZA,DZ,Middle East & North Africa,Middle East & North Africa (excluding high income),Upper middle income,IBRD,Algiers,3.05097,36.7397,0.866905290544018,0.7713223,-0.09558298057316228,-11.025769667777674,Over-Invested
12,Angola,2015.0,AGO,AO,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IBRD,Luanda,13.242,-8.81155,8.63060523378897,1.0542841,-7.576321138024809,-87.78435501097167,Over-Invested
13,Angola,2016.0,AGO,AO,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IBRD,Luanda,13.242,-8.81155,-0.17752253003044896,0.2757805,0.45330302901192476,55.349576718050095,Under-Invested
14,Angola,2017.0,AGO,AO,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IBRD,Luanda,13.242,-8.81155,-6.0572092060659815,0.7964929,6.853702080688326,-86.85049752244484,Under-Invested
15,Angola,2018.0,AGO,AO,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IBRD,Luanda,13.242,-8.81155,-5.420744963586791,0.34564346,5.766388424337371,-93.62369078286474,Under-Invested
16,Antigua and Barbuda,2015.0,ATG,AG,Latin America & Caribbean ,,High income,IBRD,Saint John's,-61.8456,17.1175,8.03928323858772,4.296485,-3.7427982913831297,-46.556368028160634,Over-Invested
17,Antigua and Barbuda,2016.0,ATG,AG,Latin America & Caribbean ,,High income,IBRD,Saint John's,-61.8456,17.1175,5.613403414183401,4.20587,-1.4075332626636259,-25.074507545764625,Over-Invested
